"PROVNUM","avg_share_hrs_all","avg_share_hrs_rn","avg_share_hrs_lpn","avg_share_hrs_cna","months_contract","fac_name","county","state","ownership","hospbase","n_cert_beds","qm_rating","overall_rating","health_inspection_rating","staffing_rating","longstay_qm_rating","nursing_staff_turnover","rn_turnover","na_hprd","lpn_hprd","rn_hprd"
"015032",0,0,0,0,0,"DIVERSICARE OF FOLEY","Baldwin","AL","For profit - Corporation","N",154,4,1,1,2,4,49.1,55.6,2.07149,0.71997,0.49921
"015034",0,0,0,0,0,"HUNTER CREEK HEALTH AND REHABILITATION, LLC","Tuscaloosa","AL","For profit - Limited Liability company","N",78,4,3,3,3,3,32.1,45.5,2.83894,0.61191,0.55193
"015035",0.00329658118838605,0,0.0144199824303432,0,2,"WEST GATE VILLAGE","Escambia","AL","For profit - Corporation","N",125,2,5,4,5,2,36.9,9.1,3.05859,0.96809,0.66468
"015040",0,0,0,0,0,"DIVERSICARE OF MONTGOMERY","Montgomery","AL","For profit - Corporation","N",138,5,3,2,2,5,58.3,54.5,2.05918,0.43823,0.4462
"015042",0,0,0,0,0,"SUMTER HEALTH AND REHABILITATION, L L C","Sumter","AL","For profit - Corporation","N",125,3,3,3,4,3,40,37.5,2.42374,0.67852,0.50184
"015044",0.105777173555009,0.753476215794455,0.181057800074184,0.0599384564945698,13,"CAREGIVERS OF PLEASANT GROVE, INC","Jefferson","AL","For profit - Corporation","N",64,1,1,2,4,1,55.1,NA,2.9585,0.79976,0.58756
"015045",0,0,0,0,0,"EAMC LANIER NURSING HOME","Chambers","AL","Non profit - Corporation","N",103,4,4,4,4,4,20.3,0,2.49646,1.17288,0.4958
"015047",0,0,0,0,0,"NORTHWAY HEALTH AND REHABILITATION, LLC","Jefferson","AL","For profit - Limited Liability company","N",113,3,2,2,3,3,50.4,28.6,2.89377,0.51678,0.20907
"015048",0,0,0,0,0,"CULLMAN HEALTH CARE CENTER","Cullman","AL","For profit - Corporation","N",95,4,3,3,4,3,51.3,53.8,2.66091,0.65507,0.89991
"015049",0,0,0,0,0,"EASTERN SHORE REHABILITATION AND HEALTH CENTER","Baldwin","AL","Non profit - Corporation","N",117,4,4,4,4,5,52.1,33.3,2.56251,0.77245,0.66807
"015050",0,0,0,0,0,"OAK CREST HEALTH & WELLNESS","Jefferson","AL","For profit - Limited Liability company","N",79,3,1,1,3,3,38,50,2.03134,0.60482,0.70113
"015053",0.00964267362928686,0.0123884366028503,0.0096201361834921,0.00948322745391002,3,"CLEBURNE COUNTY NURSING HOME","Cleburne","AL","Government - County","N",82,3,5,5,4,3,41.3,54.5,2.50824,1.24601,0.38311
"015060",0,0,0,0,0,"RIDGEWAY REHABILITATION & SENIOR LIVING","Jefferson","AL","For profit - Corporation","N",69,3,1,1,3,3,64.8,50,2.17082,0.63302,0.58381
"015063",0,0,0,0,0,"DIVERSICARE OF BOAZ","Marshall","AL","For profit - Corporation","N",100,5,4,3,3,5,57.1,36.8,1.89873,0.36916,0.81881
"015065",0,0,0,0,0,"PRATTVILLE HEALTH AND REHABILITATION, LLC","Autauga","AL","For profit - Corporation","N",162,2,1,1,2,1,68.7,87.5,2.73519,0.89606,0.3944
"015066",0,0,0,0,0,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC","Franklin","AL","For profit - Corporation","N",63,2,5,5,4,1,38.3,41.7,2.41307,0.85409,0.83082
"015067",0.024391487717308,0,0.102854435173086,0,12,"COTTAGE OF THE SHOALS","Colbert","AL","For profit - Corporation","N",103,2,3,4,1,3,59.6,64,1.69548,0.72034,0.78342
"015071",0.00212723058624625,0.00388953714507973,0.007889256400833,0.00030307941866732,1,"ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE","Franklin","AL","For profit - Limited Liability company","N",50,3,3,3,3,3,65.2,50,2.15466,0.53298,0.78219
"015073",0.000715649353011251,0.00616185325522019,0,0,2,"HANCEVILLE NURSING & REHAB CENTER, INC","Cullman","AL","For profit - Corporation","N",208,4,5,5,5,4,36.2,24,2.64377,0.83995,0.66263
"015075",0.175721106435458,0.266847093652404,0.165076252883975,0.157850254863576,15,"SUMMERFORD HEALTH AND REHAB, LLC","Morgan","AL","For profit - Individual","N",216,3,1,1,2,1,51.9,35,1.91996,0.7894,0.49375
"015076",0.143416293991863,0.583464584967013,0.24547990831235,0.0805285895789247,15,"FAIR HAVEN","Jefferson","AL","Non profit - Corporation","N",259,2,2,2,4,2,67.7,51.9,2.68681,0.77195,0.57849
"015083",0,0,0,0,0,"ELBA NURSING AND REHABILITATION CENTER, LLC","Coffee","AL","For profit - Corporation","N",111,1,1,2,4,2,59.6,41.7,2.30876,0.51814,0.78695
"015084",0,0,0,0,0,"PARK PLACE","Dallas","AL","For profit - Corporation","N",103,4,2,2,2,4,35.7,50,2.23012,0.66117,0.38247
"015089",0.00705799256000229,0,0.0284482508028379,0,4,"EVERGREEN NURSING HOME","Conecuh","AL","For profit - Corporation","N",61,5,5,4,4,4,32.3,28.6,2.5558,1.35606,0.51113
"015091",0.161631849218624,0.137547231856934,0.166299299367941,0.160759485429221,10,"NORTH HILL NURSING AND REHABILITATION CTR, LLC","Jefferson","AL","For profit - Corporation","N",190,1,1,2,1,3,73.6,73.3,1.95014,0.76598,0.21269
"015097",0,0,0,0,0,"SOUTH HEALTH AND REHABILITATION, LLC","Jefferson","AL","For profit - Corporation","N",83,2,2,2,2,2,NA,NA,2.88713,0.66755,0.57227
"015098",0,0,0,0,0,"ALLEN HEALTH AND REHABILITATION","Mobile","AL","Non profit - Corporation","N",119,3,3,3,3,4,55.4,41.7,2.14438,0.77138,0.62397
"015100",0.0261156204614431,0.000604490500863558,0.032220898336271,0.0268595817608501,6,"CROWNE HEALTH CARE OF MOBILE","Mobile","AL","For profit - Corporation","N",148,2,4,4,4,3,40.8,30,2.56771,1.32403,0.51827
"015101",0,0,0,0,0,"ALTOONA  HEALTH & REHAB","Etowah","AL","For profit - Corporation","N",50,3,3,3,4,3,49.2,42.9,2.24272,0.6248,0.94294
"015103",0,0,0,0,0,"ASHLAND PLACE HEALTH AND REHABILITATION, LLC","Mobile","AL","For profit - Corporation","N",164,3,3,3,4,2,54,25,2.93482,0.72354,0.61173
"015104",0,0,0,0,0,"SOUTHLAND NURSING HOME","Perry","AL","For profit - Corporation","N",91,5,5,4,4,5,17.6,28.6,2.31371,1.10271,0.48413
"015109",0,0,0,0,0,"CIVIC CENTER HEALTH AND REHABILITATION, LLC","Jefferson","AL","For profit - Corporation","N",95,4,2,2,4,4,42,0,2.36388,0.26704,0.7532
"015111",0.0540923247196261,0.00548534781787036,0.0498578337453972,0.0664173731654402,4,"DIVERSICARE OF BIG SPRINGS","Madison","AL","For profit - Corporation","N",145,4,3,3,2,4,60.2,53.3,1.75061,0.52031,0.53888
"015112",0,0,0,0,0,"MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER","Macon","AL","For profit - Corporation","N",111,2,2,2,2,2,40.7,60,1.52822,0.70023,0.56654
"015113",0.17570946887256,0,0.27207615124611,0.19010872140344,15,"RIVER CITY CENTER","Morgan","AL","For profit - Corporation","N",183,3,1,1,3,3,57.9,20,1.70885,0.73952,0.7345
"015114",0,0,0,0,0,"SHADESCREST HEALTH CARE CENTER","Walker","AL","For profit - Individual","N",107,2,2,2,4,4,35.6,42.1,2.23196,1.03154,0.67149
"015115",0,0,0,0,0,"CORDOVA HEALTH AND REHABILITATION, LLC","Walker","AL","For profit - Corporation","N",114,4,3,3,3,5,44.8,53.8,2.78538,0.6277,0.39686
"015116",0.11549722853752,0.246993344751252,0.219721190305024,0.0376774047399857,15,"SIGNATURE HEALTHCARE OF WHITESBURG GARDENS","Madison","AL","For profit - Limited Liability company","N",159,1,1,1,3,1,68.9,80.8,1.97504,1.23343,0.63274
"015117",0,0,0,0,0,"OAK KNOLL HEALTH AND REHABILITATION, LLC","Jefferson","AL","For profit - Corporation","N",100,4,1,1,3,4,50.6,54.5,2.4327,0.77261,0.43802
"015119",0.0345564899855105,0.0465041239657238,0.104556601556143,0,5,"ARABELLA HEALTH AND WELLNESS OF SELMA","Dallas","AL","For profit - Corporation","N",172,3,1,1,2,3,43.6,68.8,1.92842,0.80099,0.32608
"015120",0.0636415712505176,0.0486383365773313,0.143907191829813,0.040412854879877,7,"NHC HEALTHCARE, ANNISTON","Calhoun","AL","For profit - Corporation","N",151,2,4,4,4,1,50.3,26.1,2.54221,0.6298,0.81882
"015121",0.0402673665207538,0.0293496257090169,0.0910142783717616,0.0285707045174862,15,"CROWNE HEALTH CARE OF CITRONELLE","Mobile","AL","For profit - Corporation","N",69,4,5,5,4,5,38.4,14.3,3.11852,1.03328,0.5132
"015123",0.0540727828474929,0,0.0408747514342334,0.0681582087750995,15,"WASHINGTON COUNTY NURSING HOME","Washington","AL","Government - County","Y",88,4,5,5,4,4,37.8,12.5,2.55845,0.9906,0.69309
"015124",0.0572009321465091,0.212582991682402,0.0258711806671556,0.0216789637541062,15,"CLAY COUNTY NURSING HOME","Clay","AL","Non profit - Other","Y",83,3,4,4,4,3,30.3,41.7,2.16134,0.89311,0.56878
"015126",0,0,0,0,0,"TRAYLOR RETIREMENT COMMUNITY","Randolph","AL","For profit - Corporation","N",123,1,1,2,4,1,38.7,37.5,2.32803,0.57884,0.84553
"015127",0.197427045401495,0.0926166140593114,0.318645390326721,0.166653447452335,11,"BROOKSHIRE HEALTHCARE CENTER","Madison","AL","For profit - Corporation","N",129,4,4,4,3,4,70.1,42.1,2.73181,0.61094,0.80381
"015128",0.142395295338206,0.0036954818084035,0.295409400478555,0.128980440520346,15,"NHC HEALTHCARE, MOULTON","Lawrence","AL","For profit - Corporation","N",136,3,1,1,3,3,46.4,30,2.30536,0.65564,0.65531
"015129",0.0191684893289486,0,0.0704072461175075,0,15,"ATMORE NURSING CENTER","Escambia","AL","For profit - Corporation","N",100,1,4,5,5,2,36,20,3.05158,1.14196,0.64568
"015132",0,0,0,0,0,"DIVERSICARE OF OXFORD","Calhoun","AL","For profit - Corporation","N",173,5,3,2,3,4,32.3,33.3,2.16889,0.5919,0.35187
"015133",0,0,0,0,0,"MAGNOLIA RIDGE","Jefferson","AL","For profit - Corporation","N",148,4,1,1,1,4,59.2,73.7,1.86327,0.83568,0.35603
"015134",0.00650987430497727,0.0189565075853026,0.0122943149680624,0,3,"BIRMINGHAM NURSING AND REHABILITATION CENTER EAST","Jefferson","AL","For profit - Limited Liability company","N",132,5,2,1,1,5,68.6,57.1,1.19613,0.69402,0.31612
"015135",0,0,0,0,0,"JOHN KNOX MANOR INC  I I","Montgomery","AL","Non profit - Corporation","N",98,4,4,4,4,3,67.5,55.6,3.10322,1.22258,0.5271
"015136",0.0702678674230223,0.0424598842653812,0.186472906514084,0.0285657067110251,13,"FALKVILLE REHABILITATION AND HEALTHCARE CENTER","Morgan","AL","For profit - Corporation","N",116,2,1,1,4,4,57.1,45.5,2.74933,0.8533,0.61011
"015137",0,0,0,0,0,"ALICEVILLE MANOR NURSING HOME","Pickens","AL","For profit - Corporation","N",100,3,4,4,4,4,49,18.8,2.6281,0.52316,0.80667
"015138",0,0,0,0,0,"HENDRIX HEALTH AND REHABILITATION","Winston","AL","For profit - Individual","N",110,3,2,2,3,3,40.8,11.1,2.17997,0.90388,0.34647
"015139",0,0,0,0,0,"TALLASSEE HEALTH AND REHABILITATION, LLC","Elmore","AL","For profit - Limited Liability company","N",111,2,2,2,2,3,49.2,66.7,2.66062,0.78476,0.37043
"015141",0.00219953700962525,0,0,0.00311161368656527,5,"ARBOR WOODS HEALTH AND REHAB","Pickens","AL","For profit - Partnership","N",85,3,4,4,4,3,45.9,55.6,3.79825,0.81979,0.59108
"015142",0,0,0,0,0,"LINEVILLE HEALTH AND REHABILITATION, LLC","Clay","AL","For profit - Corporation","N",101,3,5,5,3,4,52.3,33.3,2.59128,0.57512,0.53064
"015143",0.197999032095751,0.19104514310045,0.310608417479582,0.159288612757103,15,"FOREST MANOR HEALTH AND REHAB","Tuscaloosa","AL","For profit - Limited Liability company","N",182,2,2,2,3,1,59.2,56,2.0997,0.69283,0.74427
"015144",0.00318900946281095,0,0.00292272376962549,0.00366350962362442,3,"THE HEALTHCARE CENTER AT BUCK CREEK","Shelby","AL","For profit - Limited Liability company","N",198,3,2,2,3,3,37.5,61.5,2.17904,0.94358,0.53396
"015145",0,0,0,0,0,"DIVERSICARE OF RIVERCHASE","Jefferson","AL","For profit - Corporation","N",132,4,2,2,2,5,42.5,40,2.13826,0.66071,0.29308
"015147",0.0232063383462235,0,0.0672919663157135,0.01062590984886,11,"GLENWOOD CENTER","Lauderdale","AL","For profit - Corporation","N",125,3,1,1,3,3,40.4,23.5,1.86824,0.72767,0.52672
"015148",0,0,0,0,0,"DIVERSICARE OF ARAB","Marshall","AL","For profit - Limited Liability company","N",87,4,1,1,4,5,37,10,2.06881,0.46167,0.67088
"015149",0,0,0,0,0,"SUNSET MANOR","Marion","AL","For profit - Corporation","N",71,1,3,3,5,2,34.7,35.7,2.66985,0.76903,1.08924
"015150",0.0169295995523083,0,0.0370167072178049,0.0133420113781586,15,"WIREGRASS REHABILITATION CENTER & NURSING HOME","Geneva","AL","Government - County","Y",96,5,4,2,5,5,31.8,9.1,2.93335,0.79334,0.68662
"015151",0.00454494552442608,0,0,0.00870464999980802,3,"AZALEA HEALTH AND REHAB LLC","Mobile","AL","For profit - Limited Liability company","N",170,2,1,1,3,2,64.8,70.8,2.36617,0.36193,0.92505
"015152",0,0,0,0,0,"EXTENDICARE HEALTH CENTER","Houston","AL","For profit - Corporation","N",170,4,1,1,4,4,41.8,26.9,2.72751,1.18407,0.6495
"015153",0.0017612793008865,0.0117099205968075,0,0,5,"ARLINGTON REHABILITATION & HEALTHCARE CENTER","Jefferson","AL","For profit - Corporation","N",117,1,1,3,1,2,NA,NA,1.93594,0.50952,0.52793
"015154",0,0,0,0,0,"FAYETTE MEDICAL CENTER LONG TERM CARE UNIT","Fayette","AL","Government - County","Y",122,4,5,4,5,5,32.7,14.3,2.48692,1.09945,1.02974
"015155",0.00609347586842149,0.00134742509165243,0,0.010038634011751,9,"RIDGEVIEW HEALTH SERVICES, INC","Walker","AL","For profit - Corporation","N",148,2,4,4,4,3,50,33.3,2.03492,0.79384,0.76556
"015156",0.023559780570073,0,0.0648012388978373,0.016223090488361,9,"CROWNE HEALTH CARE OF FT PAYNE","De Kalb","AL","For profit - Corporation","N",123,2,5,5,4,3,46.6,28.6,2.03964,0.86623,0.62385
"015157",0.0133605418276058,0.00283070223189983,0.0429761272200085,0,9,"HALEYVILLE HEALTH CARE CENTER","Winston","AL","For profit - Corporation","N",97,3,5,5,5,3,35.6,12.5,2.51915,0.93213,0.73085
"015158",0,0,0,0,0,"DIVERSICARE OF MARION","Perry","AL","For profit - Corporation","N",71,5,5,4,3,5,46.3,50,2.51714,0.3971,0.47373
"015159",0,0,0,0,0,"DIVERSICARE OF ONEONTA","Blount","AL","For profit - Corporation","N",120,3,1,2,1,4,52.4,57.1,1.86744,0.60152,0.47202
"015160",0,0,0,0,0,"SYLACAUGA HEALTH AND REHAB SERVICES","Talladega","AL","Non profit - Corporation","N",149,4,4,4,4,4,39,16.7,2.38896,0.74938,0.78432
"015162",0,0,0,0,0,"TALLADEGA HEALTHCARE CENTER, INC","Talladega","AL","For profit - Corporation","N",234,2,2,2,4,2,51.2,46.4,3.17315,0.86387,0.42289
"015163",0,0,0,0,0,"ALBERTVILLE NURSING HOME","Marshall","AL","For profit - Corporation","N",159,4,4,4,4,4,46.9,40,3.51628,0.92051,0.59036
"015164",0,0,0,0,0,"CHOCTAW HEALTH AND REHAB","Choctaw","AL","For profit - Limited Liability company","N",120,3,5,5,3,5,38.8,50,2.01527,0.65301,0.49056
"015166",0.0061995280160746,0.0319181260217693,0.0254486026088183,0,3,"DADEVILLE HEALTHCARE CENTER","Tallapoosa","AL","For profit - Limited Liability company","N",144,3,2,2,3,3,99,100,3.12602,0.76011,0.56609
"015167",0,0,0,0,0,"MARION REGIONAL NURSING HOME","Marion","AL","Non profit - Corporation","Y",79,3,4,3,5,3,38.1,18.2,2.2484,0.82803,0.96096
"015168",0.00901968026370845,0,0.0439785648352007,0,3,"LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE","Mobile","AL","Non profit - Corporation","N",75,4,5,5,5,4,41.9,20,3.06775,0.73979,0.83168
"015169",0,0,0,0,0,"FLORENCE NURSING AND REHABILITATION CTR,  LLC","Lauderdale","AL","For profit - Individual","N",147,4,2,2,4,4,54.4,36.4,1.7773,0.81356,0.71591
"015171",0,0,0,0,0,"SOUTHERN SPRINGS HEALTHCARE FACILITY","Bullock","AL","For profit - Corporation","N",123,4,4,4,4,3,24.2,14.3,3.16877,0.96214,0.38202
"015174",0.0137072960819541,0.0832187810365657,0.036047547804815,0.000155478702964737,2,"COOSA VALLEY HEALTH AND REHAB","Etowah","AL","For profit - Corporation","N",124,2,2,2,2,1,43.8,22.2,1.99816,0.62307,0.47018
"015175",0.0559735318590589,0.025546910737931,0.024075430515256,0.0684001664098205,12,"WESLEY PLACE ON HONEYSUCKLE","Houston","AL","Non profit - Corporation","N",166,3,2,2,4,2,60.4,29.4,2.94942,1.06201,0.50638
"015176",0,0,0,0,0,"CROSSVILLE HEALTH AND REHABILITATION, LLC","De Kalb","AL","For profit - Corporation","N",143,3,4,4,3,3,48.3,28.6,2.85332,0.49786,0.42713
"015177",0.0203856434405186,0,0.0436364037321788,0.0133768004021132,9,"WOODHAVEN MANOR NURSING HOME","Marengo","AL","For profit - Corporation","N",75,4,5,5,4,4,39.2,20,2.31552,0.9128,0.47768
"015178",0.214657708747915,0.285245606803204,0.345448093883704,0.0923195414414698,9,"GREENE COUNTY NURSING HOME","Greene","AL","For profit - Corporation","N",72,NA,1,1,1,NA,NA,NA,1.65619,0.90649,0.16139
"015179",0.00501726474676223,0,0.0210384147004399,0,4,"PARKWOOD HEALTH CARE FACILITY","Russell","AL","For profit - Corporation","N",74,4,3,3,4,4,41.3,16.7,2.60862,0.94442,0.8185
"015180",0.0304678534065879,0,0.0463651590700469,0.0282433908198886,7,"GADSDEN HEALTH AND REHAB CENTER","Etowah","AL","For profit - Individual","N",168,3,4,4,4,3,NA,NA,2.92983,1.39916,0.50377
"015182",0.000131915407595937,0.00187783509086961,0,0,1,"GEORGIANA HEALTH AND REHABILITATION, LLC","Butler","AL","For profit - Corporation","N",91,2,4,4,3,2,40.9,55.6,2.54961,0.98788,0.36583
"015183",0,0,0,0,0,"NORTH MOBILE NURSING AND REHABILITATION CTR","Mobile","AL","For profit - Individual","N",172,5,2,1,3,4,57.5,40,2.45574,0.65,0.38112
"015184",0,0,0,0,0,"CLOVERDALE REHABILITATION AND NURSING CENTER","Jackson","AL","For profit - Corporation","N",141,4,4,4,3,3,NA,NA,2.21613,0.73179,0.61808
"015186",0,0,0,0,0,"GLEN HAVEN HEALTH AND REHABILITATION, LLC","Tuscaloosa","AL","For profit - Corporation","N",200,2,1,1,3,2,50,48,3.11151,0.54429,0.61709
"015187",0,0,0,0,0,"MOUNDVILLE HEALTH AND REHABILITATION, LLC","Hale","AL","For profit - Corporation","N",68,3,3,3,4,3,29.5,11.1,2.46904,0.5583,0.64554
"015188",0.105843613378549,0.0265714777713714,0.038847045194431,0.139500148267046,11,"JACKSON HEALTH CARE FACILITY","Clarke","AL","For profit - Corporation","N",91,5,4,3,4,5,46.4,17.6,2.92349,0.70877,0.85663
"015189",0.00573476980449929,0.0159596840307004,0.0305986433918399,0,8,"DIVERSICARE OF PELL CITY","St. Clair","AL","For profit - Corporation","N",94,3,2,3,1,4,63.2,72.7,1.805,0.34165,0.63927
"015191",0.000227329732478474,0.00221839879449573,0,0,2,"BROWN NURSING HOME","Tallapoosa","AL","For profit - Corporation","N",68,2,4,4,4,2,46.7,40,2.58401,0.98258,0.62976
"015192",0.0223180839185898,0,0.0421366424814222,0.0212701170784787,8,"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD","Lee","AL","For profit - Partnership","N",225,5,3,2,4,5,52.6,44.4,2.80691,0.84253,0.62298
"015193",0,0,0,0,0,"CROWNE HEALTH CARE OF GREENVILLE","Butler","AL","For profit - Corporation","N",118,3,3,3,4,2,43,54.5,3.03828,1.2676,0.4596
"015194",0.00223428491679096,0,0.0106420219846148,0,2,"PIEDMONT HEALTH CARE CENTER","Calhoun","AL","Government - City","N",91,5,5,5,4,4,40,40,3.32558,0.92757,0.6211
"015195",0,0,0,0,0,"VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY","St. Clair","AL","Non profit - Corporation","N",168,2,1,1,3,2,48.3,62.5,2.9159,0.73243,0.48983
"015196",0,0,0,0,0,"DIVERSICARE OF LANETT","Chambers","AL","For profit - Corporation","N",85,5,5,4,3,4,41.7,40,1.72039,0.84492,0.38506
"015197",0.0150122506487782,0.103712195488636,0.0238287835836867,0,3,"LAFAYETTE EXTENDED CARE","Chambers","AL","For profit - Corporation","N",69,3,4,4,3,3,NA,NA,2.95386,0.83319,0.51509
"015199",0.019019378265348,0,0.0499017939448453,0.00824028599755245,12,"CROWNE HEALTH CARE OF EUFAULA","Barbour","AL","For profit - Corporation","N",180,3,2,2,4,3,38,23.5,2.48167,0.98823,0.51314
"015200",0,0,0,0,0,"CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER","Cherokee","AL","Government - County","N",185,2,4,4,4,2,44.7,53.8,3.4754,0.81412,0.50616
"015201",0,0,0,0,0,"GENERATIONS OF RED BAY, LLC","Franklin","AL","For profit - Corporation","N",90,4,1,1,2,4,65.5,58.3,1.88341,0.84549,0.72117
"015202",0,0,0,0,0,"MCGUFFEY HEALTH & REHABILITATION CENTER","Etowah","AL","For profit - Corporation","N",209,2,4,4,3,3,42.9,33.3,2.38167,0.87594,0.34556
"015203",0,0,0,0,0,"ATTALLA HEALTH AND REHAB","Etowah","AL","For profit - Corporation","N",182,2,1,1,4,1,48.7,37.5,2.61403,0.86281,0.61628
"015204",0.021075393915342,0.1192587612699,0.0454368798940496,0,7,"GOODWATER HEALTHCARE CENTER","Coosa","AL","For profit - Corporation","N",72,2,5,5,3,2,NA,NA,3.37155,0.90882,0.53438
"015206",0.103725764502496,0.233497870736792,0.19682462423943,0.0627467719374123,10,"DECATUR HEALTH & REHAB CENTER","Morgan","AL","For profit - Limited Liability company","N",119,4,3,3,2,2,67,66.7,2.6525,0.88268,0.47972
"015207",0,0,0,0,0,"COLLINSVILLE HEALTHCARE & REHAB","De Kalb","AL","For profit - Corporation","N",200,2,3,3,4,2,24.3,37.5,2.9291,1.11283,0.55591
"015208",0,0,0,0,0,"OZARK HEALTH AND REHABILITATION, LLC","Dale","AL","For profit - Limited Liability company","N",149,5,5,4,4,4,40.4,29.4,2.56802,0.75265,0.48216
"015209",5.53490344706868e-05,0.00063710499490316,0,0,1,"DIVERSICARE OF BESSEMER","Jefferson","AL","For profit - Corporation","N",180,4,1,1,3,4,54.5,58.3,2.58334,0.64691,0.4612
"015210",0.000300532694200471,0.00315395229647151,0,0,1,"OPP HEALTH AND REHABILITATION, LLC","Covington","AL","For profit - Corporation","N",197,1,2,3,2,2,49.4,61.1,2.46872,0.83145,0.38303
"015211",0,0,0,0,0,"TWIN OAKS REHABILITATION AND HEALTHCARE CENTER","Mobile","AL","For profit - Corporation","N",131,3,3,3,3,3,44.1,26.7,1.91025,0.97898,0.56585
"015212",0,0,0,0,0,"SELF SKILLED NURSING & REHAB","Jefferson","AL","For profit - Corporation","N",131,2,1,1,4,1,59.6,33.3,2.91919,1.28273,0.45695
"015213",0,0,0,0,0,"TROY HEALTH & REHABILITATION CENTER","Pike","AL","For profit - Corporation","N",220,1,1,1,4,1,42,9.1,2.87919,0.82483,0.59244
"015214",0.0309117123603967,0,0.162694081994158,0,12,"MADISON MANOR NURSING HOME","Madison","AL","For profit - Corporation","N",80,2,3,3,4,2,59.8,58.3,3.04414,0.77501,0.64113
"015215",0,0,0,0,0,"BIBB MEDICAL CENTER NURSING HOME","Bibb","AL","Government - County","Y",131,3,1,1,4,4,42.9,21.4,2.31206,0.61336,0.56626
"015216",0.0247905853984516,0.0147249068016077,0.0369224339635582,0.0229972365307964,15,"OAKVIEW MANOR HEALTH CARE CENTER","Dale","AL","Non profit - Corporation","N",138,3,3,3,3,2,26.2,50,2.15508,0.61758,0.47397
"015217",0,0,0,0,0,"BIRMINGHAM NURSING AND REHABILITATION CTR LLC","Jefferson","AL","For profit - Limited Liability company","N",132,5,2,1,3,5,57.1,37.5,2.26692,1.1053,0.2618
"015220",0.0673794809091592,0,0.235153176392015,0,15,"CROWNE HEALTH CARE OF THOMASVILLE","Clarke","AL","For profit - Corporation","N",80,2,5,5,3,3,53.3,50,2.43974,0.885,0.4214
"015221",0.00327239990732354,0.015502276585092,0.00925452891658451,0,3,"CHAPMAN HEALTHCARE CENTER, INC","Tallapoosa","AL","For profit - Corporation","N",188,1,2,3,3,2,98.6,95,2.9701,0.60075,0.55537
"015222",0,0,0,0,0,"FAIRHOPE HEALTH & REHAB","Baldwin","AL","Non profit - Corporation","N",131,2,2,2,4,4,47.3,22.2,2.36986,0.82563,0.49751
